,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-01-11,158.237060049144,145.33706531859664,168.7395014506811,158.237060049144,158.237060049144,-1.1778513325124027,-1.1778513325124027,-1.1778513325124027,-1.1778513325124027,-1.1778513325124027,-1.1778513325124027,0.0,0.0,0.0,157.0592087166316
1,2022-01-12,158.14531411046408,145.49189353553598,167.60231092219985,158.14531411046408,158.14531411046408,-1.1415126762091645,-1.1415126762091645,-1.1415126762091645,-1.1415126762091645,-1.1415126762091645,-1.1415126762091645,0.0,0.0,0.0,157.0038014342549
2,2022-01-13,158.05356817178424,144.87800967625498,168.38069779572032,158.05356817178424,158.05356817178424,-1.3918742917410882,-1.3918742917410882,-1.3918742917410882,-1.3918742917410882,-1.3918742917410882,-1.3918742917410882,0.0,0.0,0.0,156.66169388004315
3,2022-01-14,157.96182223310433,144.47307991690596,167.93680205327937,157.96182223310433,157.96182223310433,-1.7942385929807045,-1.7942385929807045,-1.7942385929807045,-1.7942385929807045,-1.7942385929807045,-1.7942385929807045,0.0,0.0,0.0,156.1675836401236
4,2022-01-18,157.59483847838482,145.99694347608965,168.6790378997986,157.59483847838482,157.59483847838482,-1.177851332513812,-1.177851332513812,-1.177851332513812,-1.177851332513812,-1.177851332513812,-1.177851332513812,0.0,0.0,0.0,156.416987145871
5,2022-01-19,157.5030925397049,144.3555959625962,168.42518818928548,157.5030925397049,157.5030925397049,-1.1415126762088805,-1.1415126762088805,-1.1415126762088805,-1.1415126762088805,-1.1415126762088805,-1.1415126762088805,0.0,0.0,0.0,156.36157986349602
6,2022-01-20,157.41134660102503,143.85925172558848,166.98020042739566,157.41134660102503,157.41134660102503,-1.3918742917423246,-1.3918742917423246,-1.3918742917423246,-1.3918742917423246,-1.3918742917423246,-1.3918742917423246,0.0,0.0,0.0,156.01947230928272
7,2022-01-21,157.31960066234515,144.07228428488256,167.27990261708928,157.31960066234515,157.31960066234515,-1.7942385929778022,-1.7942385929778022,-1.7942385929778022,-1.7942385929778022,-1.7942385929778022,-1.7942385929778022,0.0,0.0,0.0,155.52536206936736
8,2022-01-24,157.0443628463055,144.5695880305375,167.29541937999605,157.0443628463055,157.0443628463055,-0.8700856827746379,-0.8700856827746379,-0.8700856827746379,-0.8700856827746379,-0.8700856827746379,-0.8700856827746379,0.0,0.0,0.0,156.17427716353086
9,2022-01-25,156.9526168950069,144.08564008134576,167.07225595546248,156.9526168950069,156.9526168950069,-1.1778513325094238,-1.1778513325094238,-1.1778513325094238,-1.1778513325094238,-1.1778513325094238,-1.1778513325094238,0.0,0.0,0.0,155.7747655624975
10,2022-01-26,156.8608709437083,143.75450617177154,167.0726511064421,156.8608709437083,156.8608709437083,-1.1415126762093075,-1.1415126762093075,-1.1415126762093075,-1.1415126762093075,-1.1415126762093075,-1.1415126762093075,0.0,0.0,0.0,155.719358267499
11,2022-01-27,156.7691249924097,142.63921303025285,166.74785143732464,156.7691249924097,156.7691249924097,-1.3918742917435611,-1.3918742917435611,-1.3918742917435611,-1.3918742917435611,-1.3918742917435611,-1.3918742917435611,0.0,0.0,0.0,155.37725070066614
12,2022-01-28,156.67737904111112,142.00712048814881,167.211758985051,156.67737904111112,156.67737904111112,-1.7942385929748996,-1.7942385929748996,-1.7942385929748996,-1.7942385929748996,-1.7942385929748996,-1.7942385929748996,0.0,0.0,0.0,154.88314044813623
13,2022-01-31,156.4021411872153,144.34002112689225,166.74552722796915,156.4021411872153,156.4021411872153,-0.870085682777953,-0.870085682777953,-0.870085682777953,-0.870085682777953,-0.870085682777953,-0.870085682777953,0.0,0.0,0.0,155.53205550443735
14,2022-02-01,156.31039523591673,143.309070217002,166.66552018809892,156.31039523591673,156.31039523591673,-1.1778513325108328,-1.1778513325108328,-1.1778513325108328,-1.1778513325108328,-1.1778513325108328,-1.1778513325108328,0.0,0.0,0.0,155.1325439034059
